id,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline,targaet
48864,12.43,1.52,1.82,16.8,136,2.55,2.27,0.24,2.35,3.3,1.17,2.96,710,2
51690,13.11,2.99,2.38,21.5,104,1.8,1.22,0.24,0.94,5.0,0.57,1.29,480,3
33280,11.56,1.88,2.4,20.0,96,3.02,2.89,0.21,1.35,3.25,1.71,2.96,290,2
51653,14.19,1.73,2.48,17.4,91,2.6,2.33,0.34,1.36,5.25,1.08,2.85,1295,1
90736,11.81,3.43,2.32,18.0,112,1.63,1.59,0.37,0.42,2.9,0.86,1.59,438,2
10788,12.6,4.1,2.2,21.0,102,1.38,0.34,0.43,0.68,5.5,0.77,2.05,515,3
56100,12.7,1.68,2.25,18.5,122,2.0,0.69,0.43,1.35,10.2,0.57,1.68,840,3
24599,13.73,4.61,2.45,20.5,95,1.68,0.7,0.5,1.35,10.2,0.56,1.6,725,3
98637,13.23,3.59,2.6,24.0,101,1.4,0.6,0.43,0.96,5.58,0.77,2.11,520,3
16070,13.87,1.35,2.12,18.8,90,2.2,2.53,0.27,1.48,3.84,1.12,3.48,990,1
27270,12.37,1.17,2.0,16.8,88,2.1,1.85,0.3,1.04,3.27,1.17,2.23,428,2
26175,13.48,2.46,2.3,19.5,86,1.68,0.68,0.44,1.24,4.0,0.97,1.56,600,3
21661,13.17,3.03,2.15,20.0,102,1.59,0.58,0.53,1.4,7.3,0.59,1.62,725,3
34684,13.24,3.98,2.12,17.0,101,2.64,2.76,0.32,2.03,4.28,0.82,3.1,680,1
28932,13.05,1.65,2.84,25.0,95,2.45,2.37,0.37,1.57,4.25,1.31,2.87,915,1
99839,12.0,1.33,2.24,21.5,85,2.74,3.15,0.39,1.77,6.0,0.98,2.84,428,2
18221,12.33,0.99,2.67,24.0,101,1.9,1.84,0.43,1.4,2.6,1.36,2.72,315,2
75997,12.88,3.91,2.2,20.0,102,1.7,0.34,0.43,1.15,8.21,0.67,2.0,830,3
29387,13.05,1.67,1.36,15.0,86,2.5,2.17,0.24,2.35,3.38,1.04,3.18,392,2
43278,11.03,2.4,1.75,19.5,86,2.9,2.99,0.17,1.83,3.94,0.8,3.64,710,2
23626,13.23,2.46,2.35,20.0,120,1.65,0.69,0.53,1.35,9.2,0.73,1.75,840,3
55277,11.64,2.06,2.32,18.0,96,3.02,2.26,0.17,1.35,2.4,1.13,3.44,380,2
244,14.2,4.04,2.51,15.2,116,3.0,3.04,0.2,2.08,5.1,1.04,3.71,1035,1
61914,12.33,2.45,1.7,17.5,88,2.55,2.27,0.24,2.29,3.8,0.8,3.2,710,2
38829,13.77,1.73,2.41,16.0,89,2.6,2.33,0.29,1.25,3.8,1.09,2.75,1020,1
43683,12.7,4.6,2.64,25.0,96,1.79,0.84,0.63,1.14,5.0,0.89,1.69,550,3
36238,13.24,1.78,2.14,15.5,96,2.48,2.43,0.28,1.37,4.38,1.04,2.48,1295,1
52828,12.6,4.36,2.2,21.0,88,1.62,0.34,0.47,1.15,6.62,0.78,1.56,640,3
55150,11.82,2.89,1.7,15.0,97,1.72,1.28,0.28,1.15,2.65,0.86,2.52,562,2
69087,12.25,1.19,2.92,28.5,119,3.18,2.03,0.4,2.76,2.08,1.36,3.16,562,2
70517,13.83,1.9,2.8,15.0,115,2.95,3.29,0.34,1.66,6.2,1.07,2.93,1280,1
70606,13.51,1.8,2.46,20.5,116,2.96,2.78,0.19,1.72,5.4,1.12,3.71,1285,1
68582,12.93,4.28,2.38,20.0,92,1.7,0.76,0.47,0.97,7.65,0.56,1.86,650,3
48009,13.27,2.81,2.38,20.0,98,1.65,1.09,0.53,1.54,7.1,0.59,1.62,660,3
67102,13.36,3.27,2.15,20.0,103,1.8,0.58,0.53,1.4,7.3,0.57,1.6,725,3
62507,14.75,1.73,2.39,11.4,112,3.1,3.39,0.43,2.96,6.2,1.2,2.73,1320,1
10688,13.56,1.71,2.62,16.1,93,2.48,2.61,0.29,1.97,5.6,1.19,2.51,1375,1
85598,13.29,1.97,3.22,25.0,124,2.63,2.68,0.39,1.98,3.52,1.13,2.65,735,1
80461,13.03,1.67,2.42,23.0,101,1.95,1.75,0.45,1.46,4.8,1.25,2.77,488,2
51647,13.67,0.94,2.5,17.0,110,2.2,1.41,0.63,0.95,3.74,1.02,2.78,750,2
26830,13.34,1.66,2.56,30.0,119,3.3,2.14,0.21,2.28,3.35,1.36,3.16,630,2
65541,11.79,2.16,1.71,15.0,151,2.6,2.65,0.21,1.35,3.3,1.06,2.77,415,2
65040,14.34,2.96,2.74,23.5,96,2.05,0.52,0.53,0.55,4.92,0.87,2.31,488,3
87528,13.82,1.89,2.59,15.0,101,3.25,3.56,0.17,1.87,5.43,1.07,3.71,1095,1
54252,13.4,2.58,2.35,20.0,89,1.39,0.63,0.48,1.25,4.0,0.62,1.63,470,3
67535,12.52,2.43,2.56,21.6,94,1.92,1.84,0.43,1.56,2.94,1.27,2.01,365,2
21903,11.61,1.88,2.32,20.0,98,2.9,2.79,0.17,1.35,2.8,1.23,3.13,290,2
34117,12.51,3.57,2.36,21.0,97,1.25,1.09,0.4,0.83,5.7,0.78,2.05,510,3
19259,12.6,1.34,1.7,17.5,92,2.55,2.65,0.24,2.35,3.38,1.17,2.96,718,2
11975,12.08,1.72,2.19,21.0,85,2.2,1.92,0.26,1.44,1.74,0.94,3.16,564,2
56259,13.58,5.04,2.32,20.5,88,1.62,0.63,0.48,1.55,8.66,0.59,1.64,470,3
218,13.4,1.24,2.75,25.5,111,1.48,0.96,0.29,1.25,9.7,0.57,1.56,600,3
93246,13.78,4.36,2.26,20.0,92,1.68,0.34,0.48,0.88,5.7,0.91,1.58,580,3
70818,12.77,3.87,2.46,21.6,80,2.62,2.65,0.3,1.95,2.6,0.79,3.0,415,2
17179,11.65,1.35,2.19,22.5,80,2.74,3.15,0.24,2.49,2.3,1.12,3.59,380,2
67247,11.82,1.09,2.17,21.0,88,3.38,2.89,0.13,1.65,1.9,1.04,3.18,886,2
94509,12.07,1.51,2.3,21.0,98,1.45,1.02,0.37,1.44,2.7,0.95,3.07,870,2
23223,11.82,2.13,2.2,18.0,112,2.23,2.45,0.37,1.61,3.25,0.97,3.17,345,2
60189,13.69,3.55,2.69,24.5,107,1.55,0.58,0.29,0.81,4.6,0.67,1.75,600,3
33678,12.85,1.5,2.55,17.8,98,2.4,2.64,0.29,1.98,4.5,1.1,2.3,1105,1
48933,12.29,2.83,2.17,21.0,85,2.55,2.17,0.34,1.31,2.76,0.96,3.1,278,2
99699,13.48,1.81,2.46,20.5,116,3.15,2.78,0.2,1.97,5.43,1.25,3.13,1235,1
44609,13.16,1.64,2.84,21.0,98,2.4,2.41,0.37,1.44,4.2,1.12,2.87,915,1
79694,13.69,4.6,2.45,20.0,120,1.59,1.57,0.26,1.25,8.42,0.59,1.29,500,3
45471,12.29,2.83,2.42,22.5,90,1.95,1.84,0.48,1.63,3.6,0.96,2.31,495,2
3296,14.83,1.73,2.17,11.4,92,3.3,3.69,0.17,2.96,6.38,1.2,3.0,1150,1
69155,13.94,2.15,2.3,16.8,105,2.95,3.32,0.24,1.85,5.75,1.12,3.71,1510,1
25942,12.96,4.36,2.2,20.0,120,1.7,0.68,0.27,1.46,10.68,0.55,1.86,500,3
61811,12.04,1.51,2.6,25.0,80,1.89,1.84,0.42,1.03,2.6,1.31,2.23,562,2
66578,14.21,2.15,2.61,17.6,121,2.8,2.65,0.34,1.98,5.4,1.13,3.58,1375,1
50619,13.45,3.9,2.48,21.5,89,1.68,0.65,0.47,1.41,7.3,0.55,1.56,625,3
56657,12.37,1.07,2.39,24.5,88,3.38,2.58,0.43,1.87,3.0,1.31,2.96,406,2
64723,13.28,1.64,2.55,18.0,110,3.0,3.0,0.17,1.76,5.04,1.04,3.71,920,1
24817,13.74,1.9,2.68,17.1,115,3.0,2.97,0.29,1.66,5.04,0.88,3.36,1060,1
73054,14.34,3.27,2.48,20.0,80,1.62,0.65,0.58,1.24,8.42,0.59,1.58,372,3
81127,11.79,4.3,2.4,20.0,112,3.18,2.89,0.21,2.91,3.25,0.75,3.33,290,2
20158,13.49,1.25,2.12,24.0,87,3.5,2.58,0.21,1.87,3.38,0.89,3.13,410,2
25134,12.37,1.13,2.24,21.5,86,1.38,1.02,0.5,1.63,1.74,1.08,2.42,680,2
32184,13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,1.72,5.24,1.25,3.13,920,1
53825,12.33,2.45,2.13,19.0,88,2.55,2.27,0.3,1.31,2.4,0.8,3.38,378,2
34630,12.0,2.12,1.82,19.5,97,2.6,2.65,0.45,1.35,2.06,1.06,3.2,718,2
79940,12.7,3.87,2.0,16.0,100,3.18,2.26,0.3,1.95,2.57,1.19,2.82,714,2
28325,14.3,1.71,2.43,14.6,117,3.27,3.0,0.32,1.7,8.7,1.23,2.74,1310,1
15107,13.05,1.6,2.52,17.8,95,2.48,2.43,0.22,2.35,5.64,1.19,2.77,1375,1
6207,12.6,3.12,2.64,21.0,97,1.54,0.6,0.5,1.14,5.0,0.75,1.69,515,3
33325,13.71,4.28,2.26,22.5,88,1.62,0.47,0.41,1.15,10.26,0.67,2.0,830,3
27927,13.23,3.26,2.15,18.5,98,1.65,0.48,0.61,1.4,7.3,0.57,1.51,740,3
76753,11.96,2.68,2.92,20.0,103,1.6,2.03,0.48,1.03,3.6,1.23,2.87,607,2
41240,14.16,2.99,2.48,19.5,80,0.98,0.7,0.4,1.24,8.6,0.6,1.33,415,3
69514,14.34,4.12,2.48,20.0,80,1.62,0.65,0.47,1.41,7.3,0.6,1.62,502,3
81130,13.74,1.67,2.36,16.4,117,2.88,2.94,0.32,1.62,4.8,1.11,2.75,1045,1
29424,14.13,3.57,2.74,24.5,98,2.05,0.52,0.56,1.15,8.5,0.78,1.8,550,3
71516,12.86,4.61,2.48,22.0,89,1.74,0.61,0.52,1.55,7.1,0.61,1.64,470,3
85719,13.17,3.27,2.38,20.0,92,1.74,0.83,0.58,0.84,7.65,0.64,1.73,650,3
92736,12.72,1.53,1.99,16.8,80,2.02,2.03,0.3,1.87,3.9,1.28,2.96,415,2
56509,13.73,1.67,2.41,16.4,127,2.6,2.88,0.28,2.1,5.6,1.04,3.92,1060,1
24513,12.08,0.92,2.02,16.0,151,2.42,2.65,0.32,1.54,2.85,1.38,2.96,937,2
47619,14.34,3.27,2.74,23.5,98,2.05,0.52,0.53,0.8,5.88,0.82,2.31,550,3
49130,13.4,4.95,2.35,22.0,88,1.62,0.5,0.61,0.68,7.65,0.56,1.64,620,3
6198,14.02,1.73,2.27,17.4,118,2.6,2.33,0.32,1.25,3.84,1.05,2.75,1035,1
1129,13.83,1.65,2.6,17.2,93,2.45,2.52,0.29,1.98,4.2,1.09,2.51,1285,1
70439,14.21,1.76,2.48,16.0,91,3.0,3.93,0.29,2.08,5.7,1.12,2.85,1680,1
63894,12.82,2.31,2.2,19.5,96,1.15,0.58,0.27,1.14,9.4,0.57,1.33,600,3
25798,12.99,0.9,2.23,18.0,162,2.53,2.5,0.14,2.35,3.38,1.38,3.13,985,2
33911,12.37,1.13,2.38,24.5,101,2.42,2.01,0.43,1.4,2.08,0.89,2.87,315,2
4900,14.38,3.59,2.65,17.6,115,2.8,2.65,0.25,1.66,5.4,0.87,3.36,680,1
32907,13.75,1.5,2.7,22.5,101,3.0,2.98,0.31,1.76,5.04,0.88,3.35,1195,1
76244,11.45,1.51,2.16,19.0,99,1.45,1.25,0.5,1.15,3.25,0.95,2.14,407,2
81517,14.21,1.48,2.48,16.3,108,2.8,2.94,0.32,2.08,7.3,1.23,2.9,1515,1
52321,12.88,3.12,2.61,22.0,101,2.32,0.56,0.53,0.8,5.88,0.87,2.11,580,3
45555,13.17,2.76,2.15,21.0,103,1.5,0.58,0.6,1.3,5.45,0.62,1.55,725,3
63558,12.6,3.55,2.35,21.5,88,1.62,0.5,0.44,1.15,9.58,0.67,1.92,880,3
99351,11.64,1.67,2.32,20.0,96,2.9,2.79,0.24,1.87,2.8,1.0,3.44,510,2
69891,11.66,1.67,2.27,18.0,96,2.9,2.99,0.21,1.35,3.94,0.94,3.39,380,2
58110,14.38,1.87,2.38,12.0,102,3.3,3.64,0.32,2.96,6.75,1.2,2.73,1150,1
37005,14.23,1.71,2.3,16.0,126,3.2,3.39,0.27,2.03,6.38,1.05,2.88,1150,1
59482,13.5,1.81,2.46,20.5,100,3.0,2.98,0.19,1.86,5.1,1.04,3.71,1035,1
93423,13.86,1.66,2.24,18.8,81,1.6,1.5,0.52,2.08,4.6,0.76,2.01,470,2
35146,14.38,1.95,2.5,16.7,113,3.0,3.39,0.29,1.85,6.6,1.05,3.1,1515,1
79972,12.87,3.55,2.58,22.0,101,2.32,0.47,0.4,0.88,5.88,0.74,2.11,830,3
35495,13.2,3.98,2.29,17.5,105,2.64,2.76,0.32,1.81,4.36,0.82,3.1,680,1
19283,13.05,1.77,2.04,17.0,98,2.4,2.41,0.32,1.37,4.25,1.04,2.77,1285,1
25362,13.45,2.59,2.35,18.0,89,1.68,0.5,0.6,0.64,9.899999,0.54,1.63,470,3
65290,13.83,1.89,2.68,15.0,101,3.0,3.67,0.39,1.66,6.0,1.07,2.93,1095,1
54584,11.84,1.47,1.94,19.6,78,2.11,1.92,0.39,2.08,4.68,0.69,3.57,672,2
64460,14.23,1.92,2.5,16.7,121,2.8,3.06,0.29,2.1,5.04,1.04,3.1,1065,1
4230,13.29,2.59,2.87,21.0,118,2.63,2.68,0.39,1.98,3.52,1.04,2.93,830,1
31163,12.37,1.63,2.42,23.0,101,1.95,1.84,0.45,1.56,2.9,1.25,2.44,406,2
95183,13.24,2.36,2.87,25.0,124,2.63,2.68,0.39,1.92,4.2,0.9,3.28,760,1
87489,13.56,1.73,2.31,17.5,104,3.0,3.4,0.22,1.69,5.75,1.12,3.71,1510,1
52212,11.96,2.13,1.36,15.0,151,2.23,1.28,0.14,2.76,3.8,0.97,2.31,562,2
81874,14.06,1.59,2.21,16.5,94,2.45,2.99,0.26,1.37,5.25,1.08,2.48,1280,1
16446,12.42,2.55,2.7,21.6,104,1.75,1.32,0.6,1.62,3.8,1.04,2.31,406,2
92912,12.69,1.53,2.12,18.8,80,3.5,3.75,0.24,1.77,3.94,1.22,3.17,660,2
95583,11.82,2.13,2.62,21.0,94,2.23,2.45,0.26,1.98,2.5,1.27,3.37,520,2
80596,13.58,3.55,2.3,22.0,90,1.35,0.51,0.61,0.88,4.9,0.89,1.75,520,3
31100,13.05,5.8,1.92,19.0,87,2.86,3.15,0.26,1.95,6.0,0.73,3.39,392,2
33385,12.04,1.33,2.24,21.5,86,2.74,2.99,0.45,2.49,5.3,0.98,2.84,407,2
54871,13.29,1.97,2.4,20.5,107,3.0,2.98,0.2,2.81,6.25,0.98,3.35,795,1
49900,12.93,1.6,2.55,18.0,95,2.48,2.37,0.17,2.29,5.64,1.25,3.37,1265,1
37237,11.84,2.08,2.73,21.5,94,1.75,1.69,0.48,1.63,3.8,1.27,2.31,466,2
98578,12.0,1.13,2.39,23.6,84,2.56,2.29,0.47,1.04,2.45,1.02,3.1,385,2
15821,13.5,1.8,2.61,16.1,94,2.4,2.68,0.31,2.08,3.8,1.09,2.3,1015,1
36386,13.58,2.67,2.69,23.5,105,1.55,0.58,0.6,0.96,5.0,0.89,2.31,570,3
1504,12.2,3.88,2.38,21.0,97,1.38,1.09,0.52,1.14,7.7,0.67,1.73,880,3
89734,14.39,3.59,2.29,12.0,105,3.3,3.17,0.17,2.96,6.13,1.04,3.44,780,1
43505,12.07,4.3,2.38,22.0,78,1.65,1.59,0.61,1.62,2.45,0.79,3.3,480,2
1733,12.42,4.43,1.94,19.6,107,3.18,2.58,0.37,2.91,1.28,0.87,3.56,672,2
40815,13.41,1.77,2.36,16.6,104,2.7,3.03,0.27,1.81,5.1,1.04,4.0,1045,1
62350,14.22,1.7,2.43,17.4,117,3.27,2.65,0.32,1.97,7.8,1.28,3.13,1515,1
95723,13.83,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.16,880,1
51365,11.62,2.06,2.42,20.0,96,3.02,2.14,0.32,1.35,2.8,1.13,3.2,438,2
44155,14.83,1.73,2.17,11.4,97,3.1,3.64,0.26,2.96,6.1,1.2,3.0,1150,1
22354,13.67,1.66,2.1,21.5,86,2.0,1.6,0.26,1.53,4.8,1.04,2.01,425,2
7816,13.56,1.71,2.46,20.5,127,3.15,2.69,0.5,1.97,6.75,1.09,3.1,1515,1
93851,12.16,1.45,2.3,23.6,101,2.46,2.25,0.4,1.46,2.7,1.07,2.78,345,2
20235,13.63,3.1,2.56,15.2,128,2.6,2.76,0.28,2.1,5.6,0.96,3.2,760,1
68343,12.25,3.88,2.2,18.5,112,1.25,1.36,0.34,1.56,7.9,0.48,1.3,640,3
77712,13.56,1.71,2.46,20.5,117,2.96,2.69,0.19,2.45,6.25,1.07,3.71,1065,1
65058,12.45,4.95,2.54,18.5,120,1.83,1.57,0.26,1.56,7.9,0.59,1.29,520,3
81696,12.17,1.61,2.3,18.5,88,2.2,2.21,0.3,1.9,2.4,0.94,3.12,312,2
70023,12.37,1.07,2.31,22.5,90,3.52,2.58,0.13,1.95,2.8,0.99,3.13,420,2
67405,12.64,1.36,3.23,28.5,102,2.13,2.03,0.43,1.4,2.94,1.36,3.12,450,2
83526,12.79,3.37,2.3,19.5,88,1.48,0.68,0.37,0.97,9.58,0.72,1.27,685,3
39121,13.71,2.56,2.69,23.5,107,1.55,0.6,0.53,0.96,5.0,0.89,2.06,695,3
31646,12.96,3.45,2.35,22.0,106,1.7,1.2,0.17,0.84,4.1,0.72,1.29,560,3
23023,13.49,1.66,2.74,26.5,119,3.3,2.58,0.27,1.87,2.6,1.31,3.4,630,2
23861,13.9,2.02,3.22,15.5,115,2.95,3.17,0.34,1.66,6.2,1.07,2.84,1185,1
72083,12.69,1.53,2.92,28.5,139,3.18,2.03,0.27,1.56,2.57,1.31,3.16,937,2
36754,14.3,1.92,2.72,16.8,115,2.8,3.14,0.39,1.66,6.6,1.13,2.84,1310,1
34929,12.29,2.83,1.9,19.6,94,2.56,2.27,0.24,2.29,1.28,1.15,2.96,710,2
63042,14.12,1.59,2.12,14.0,97,2.2,2.53,0.26,1.35,5.0,1.04,2.69,1280,1
72465,11.81,1.39,2.32,20.0,162,2.74,2.79,0.24,1.77,3.25,1.12,3.47,937,2
84598,13.83,1.65,2.6,17.2,108,2.95,3.0,0.17,1.66,4.5,1.25,3.4,1050,1
69217,12.42,2.55,2.26,21.5,85,2.0,1.59,0.34,1.44,1.95,1.15,3.05,312,2
92115,13.71,1.86,2.41,20.5,101,2.98,3.25,0.19,1.95,7.22,1.01,2.88,1450,1
92885,12.0,2.08,3.23,28.5,102,3.18,2.03,0.58,1.4,3.0,1.06,2.44,500,2
22807,12.42,4.43,2.5,21.0,94,2.62,2.65,0.45,2.91,2.9,0.82,3.0,406,2
71504,12.77,3.3,2.36,18.5,113,1.7,0.68,0.43,0.94,5.28,0.96,2.05,750,3
6904,12.85,2.05,3.22,25.0,124,2.6,2.68,0.39,1.25,3.93,1.13,3.58,735,1
13525,11.03,0.74,2.32,18.0,87,2.42,2.65,0.52,1.98,2.85,1.71,2.44,407,2
94348,12.16,1.61,2.19,21.0,88,1.1,1.02,0.5,1.35,1.74,1.05,2.42,870,2
97290,13.56,1.73,2.31,17.5,89,2.4,2.68,0.27,1.97,3.84,1.05,2.82,1035,1
47085,12.45,1.9,2.2,19.0,96,1.51,0.66,0.5,0.94,5.28,0.66,1.73,515,3
15337,13.3,1.78,2.14,17.0,94,2.85,3.19,0.27,2.03,6.1,1.09,2.91,780,1
59714,14.1,2.15,2.61,18.6,103,2.42,2.52,0.29,1.97,5.0,0.86,2.87,760,1
13354,13.87,1.65,2.28,18.8,118,2.6,2.51,0.32,1.25,3.95,1.05,2.85,1095,1
19324,12.33,1.1,2.32,23.0,88,3.38,2.14,0.24,1.87,2.8,1.07,3.71,886,2
34633,12.79,2.56,2.48,23.0,112,1.15,0.78,0.29,0.83,5.5,0.78,1.58,600,3
28050,12.69,3.87,2.46,21.6,80,2.86,3.03,0.3,2.01,3.94,0.7,3.64,380,2
16053,12.84,1.35,2.25,19.5,86,2.0,0.58,0.58,1.55,7.1,0.61,1.63,480,3
22391,12.6,4.36,2.2,18.5,120,1.25,1.39,0.24,1.56,7.9,0.59,1.47,520,3
7420,12.47,1.53,2.31,22.5,90,1.38,1.46,0.58,1.62,2.6,0.96,2.42,495,2
98279,13.73,1.29,2.75,24.5,105,2.2,0.52,0.53,0.64,5.88,0.66,1.73,725,3
67885,13.77,1.9,2.8,17.1,115,3.0,2.79,0.34,1.68,6.3,1.13,2.78,1320,1
17251,11.87,2.08,1.95,20.8,86,2.6,2.65,0.21,1.35,1.9,0.86,2.78,345,2
95647,13.05,1.01,2.62,24.0,101,3.38,2.89,0.21,1.87,3.38,1.31,3.16,410,2
52566,12.37,1.07,2.78,28.5,92,3.18,2.58,0.4,1.65,2.08,1.36,3.4,680,2
19927,14.2,1.73,2.45,18.9,112,3.27,3.4,0.34,1.97,7.5,1.28,2.87,1450,1
55050,13.05,2.05,3.22,21.0,118,2.63,2.68,0.39,1.92,3.58,1.13,3.2,830,1
6135,12.21,1.29,2.1,18.5,88,2.56,2.65,0.26,1.77,3.05,1.23,3.13,278,2
99403,12.99,1.01,2.22,18.8,162,3.38,3.1,0.19,2.28,2.8,0.99,3.33,985,2
12692,13.41,3.84,2.28,16.2,103,2.64,2.9,0.28,1.81,4.38,1.04,3.92,1045,1
83302,14.02,2.16,2.61,18.6,103,2.75,3.24,0.34,2.38,6.0,1.13,3.58,1320,1
47096,14.21,1.48,2.45,16.0,108,2.5,2.52,0.32,3.28,6.2,1.07,3.1,1060,1
62365,12.52,2.43,2.22,18.0,81,2.55,1.64,0.3,1.63,2.6,0.8,2.77,510,2
36627,13.5,1.8,2.46,20.5,100,2.65,2.88,0.26,1.86,3.95,1.25,3.13,920,1
8608,13.9,1.76,2.32,16.0,89,2.65,2.51,0.26,1.98,5.85,1.02,3.59,1045,1
52773,14.06,1.68,2.21,15.6,94,2.65,2.33,0.26,1.98,5.05,1.04,3.59,920,1
5977,13.05,1.01,2.46,18.1,99,3.52,3.1,0.24,1.87,4.5,1.12,3.71,530,2
71911,14.06,1.76,2.27,14.0,92,2.65,2.33,0.26,1.98,5.0,1.05,3.47,920,1
91961,12.72,0.98,2.28,18.0,162,2.2,1.94,0.32,2.5,3.3,1.23,3.16,985,2
73419,12.43,1.52,1.7,17.5,97,2.55,2.27,0.26,1.77,3.8,1.28,3.13,710,2
7355,11.45,0.74,2.3,18.0,87,2.2,1.94,0.42,1.64,2.85,1.1,3.12,312,2
10207,14.22,1.7,2.3,16.5,126,3.25,3.39,0.26,2.03,6.38,0.95,3.36,885,1
53220,11.82,0.89,2.21,21.0,88,2.42,2.29,0.26,1.99,2.76,1.38,3.48,380,2
17210,13.05,1.6,2.84,21.0,95,2.45,2.43,0.34,1.44,4.25,1.09,2.3,880,1
96117,11.66,1.88,1.88,16.8,97,3.02,3.18,0.21,1.87,3.94,1.16,3.17,718,2
5176,12.77,1.75,2.74,28.5,88,3.3,2.14,0.21,1.87,3.38,1.31,3.16,410,2
8506,12.96,1.29,2.1,21.0,103,2.2,0.48,0.53,1.4,7.3,0.58,1.6,740,3
57634,11.76,4.3,2.32,20.0,112,3.18,2.89,0.17,2.91,2.8,0.75,3.03,345,2
