Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
2,12.04,2.16,2.5,21.6,104,1.92,1.84,0.6,1.62,3.6,1.27,2.31,466
3,13.4,1.35,2.64,25.5,89,2.8,1.31,0.61,2.29,13.0,0.57,1.29,620
2,12.37,1.07,2.16,22.5,90,3.38,2.89,0.19,1.95,2.06,1.22,2.96,886
2,12.37,1.17,1.7,17.5,85,2.1,1.92,0.24,1.04,1.95,1.17,3.16,718
3,12.85,3.59,2.58,22.0,101,2.32,0.6,0.4,0.96,4.92,0.78,1.82,550
1,13.74,1.73,2.36,16.0,104,2.42,2.68,0.32,2.08,5.6,1.04,2.48,1065
1,13.75,1.73,2.36,16.0,104,2.42,2.61,0.29,1.97,5.6,0.92,2.48,1120
3,12.2,3.03,2.32,19.0,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510
2,13.34,1.51,1.95,16.8,86,2.02,1.41,0.39,2.08,4.6,0.86,2.77,630
1,14.1,1.59,2.28,14.0,118,2.95,3.17,0.22,1.85,6.2,0.94,3.31,1060
2,13.86,0.94,2.7,18.0,88,2.53,2.86,0.26,1.66,2.6,1.25,3.5,392
3,13.17,2.59,2.37,20.0,113,1.59,0.68,0.29,0.86,7.65,0.7,2.47,560
3,12.79,3.7,2.2,19.5,88,1.74,0.58,0.44,1.25,4.0,0.56,1.86,660
3,13.08,2.59,2.35,18.0,106,1.59,1.2,0.17,0.84,5.0,0.7,1.29,600
1,13.41,1.77,2.46,20.5,100,3.0,3.25,0.2,2.38,7.22,1.23,2.87,1515
1,13.94,1.48,2.27,16.3,98,2.98,3.15,0.24,2.08,5.75,1.25,2.82,780
3,13.4,4.6,2.32,18.5,92,1.68,0.49,0.63,0.88,7.65,0.56,1.48,725
1,14.22,3.99,2.51,13.2,116,2.8,2.94,0.2,2.91,6.25,0.89,3.53,845
3,12.58,5.04,2.64,25.0,96,1.9,0.84,0.63,1.04,8.5,0.64,1.92,855
3,13.62,4.61,2.32,20.5,93,1.8,0.63,0.47,1.25,4.0,0.55,1.62,725
1,13.58,1.81,2.46,20.5,116,2.85,2.78,0.22,1.72,5.24,0.92,3.33,1195
1,13.56,1.73,2.36,17.2,89,2.4,2.69,0.42,1.97,3.84,0.93,2.31,985
1,13.05,3.8,2.28,17.5,103,2.41,2.64,0.32,1.97,3.58,0.87,3.3,760
1,14.06,1.59,2.12,15.6,90,2.2,2.43,0.26,1.77,5.05,1.04,2.48,1035
2,12.08,1.39,2.39,21.0,98,2.74,2.79,0.39,2.49,3.25,0.69,2.84,438
2,12.42,2.55,1.82,19.5,86,2.85,3.15,0.37,2.81,5.3,0.86,3.64,710
2,11.61,1.88,1.75,19.5,92,2.9,2.99,0.21,1.35,6.0,0.93,3.64,718
3,14.13,3.37,2.48,19.5,91,1.35,0.61,0.37,1.55,8.66,0.59,1.56,550
2,12.0,1.33,1.7,17.5,86,2.02,1.79,0.14,1.04,3.27,1.17,2.23,415
3,13.78,1.9,2.75,24.5,105,1.48,0.5,0.53,0.64,4.35,0.88,2.31,570
2,12.7,0.98,2.46,18.0,99,2.2,1.94,0.22,1.46,3.3,0.79,3.57,392
3,12.82,3.17,2.36,18.5,106,1.15,1.2,0.17,0.83,5.0,0.74,1.33,600
2,12.42,2.55,2.02,16.0,136,1.72,1.85,0.32,1.56,3.8,0.96,2.31,750
2,12.29,1.61,1.94,18.0,94,2.2,1.94,0.32,1.03,3.3,0.94,3.57,672
1,14.38,1.95,2.72,16.8,102,3.85,3.49,0.33,2.04,7.8,0.86,2.87,1480
2,12.37,1.07,3.23,20.0,134,3.52,5.08,0.19,1.87,4.5,0.79,3.33,750
2,12.42,2.55,2.24,18.0,81,2.85,3.15,0.39,2.91,5.3,0.86,3.64,625
2,12.08,2.16,2.02,20.5,80,2.6,2.65,0.37,1.35,1.9,0.86,3.38,510
3,13.45,3.7,2.48,23.0,102,1.8,0.75,0.4,1.41,7.6,0.6,1.62,750
1,13.24,3.98,2.28,17.5,102,2.64,2.63,0.32,1.25,4.28,0.82,3.0,1035
2,12.34,1.1,1.7,15.0,136,2.98,2.26,0.37,1.87,2.9,1.06,3.1,718
2,11.56,2.05,2.2,21.5,86,1.38,1.02,0.37,1.46,1.95,1.05,2.06,625
1,13.87,1.35,2.27,18.9,118,3.0,3.0,0.22,1.72,5.04,1.04,3.44,920
3,12.77,3.17,2.35,18.5,106,1.48,0.7,0.6,0.94,7.1,0.56,1.6,725
1,13.9,2.02,2.68,20.0,107,3.0,3.23,0.33,2.81,8.9,1.28,2.71,1450
2,12.29,1.61,2.16,21.0,85,2.2,2.0,0.34,1.44,1.95,1.0,3.02,312
2,11.41,2.4,1.7,17.5,94,2.9,3.15,0.17,3.58,2.8,0.9,3.39,710
1,13.94,1.63,2.27,16.0,98,3.1,3.15,0.22,2.14,5.75,1.25,2.82,1045
1,14.02,1.59,2.28,16.0,118,2.95,3.17,0.24,2.08,6.2,1.09,3.71,1045
1,13.86,1.9,2.68,19.4,107,3.0,2.97,0.33,1.86,4.5,1.25,3.16,1065
2,12.29,1.61,2.67,19.0,94,1.75,1.69,0.45,1.03,3.25,1.45,2.23,315
1,13.05,1.77,2.04,17.0,107,3.0,3.4,0.28,2.03,6.9,0.95,3.33,985
2,12.08,1.39,2.38,21.0,82,2.74,2.92,0.37,2.49,2.8,0.79,2.84,580
1,14.75,1.73,2.39,14.0,112,3.27,3.0,0.3,1.87,8.7,1.12,3.26,1515
2,12.99,5.8,1.94,18.5,107,3.18,2.26,0.3,1.95,2.57,0.92,2.81,530
3,13.45,3.26,2.15,22.0,102,1.41,0.55,0.53,1.4,7.6,0.7,1.56,740
1,13.72,1.83,2.36,16.0,89,2.6,2.9,0.42,1.81,3.8,1.23,2.82,990
1,13.74,1.9,2.8,15.0,115,2.95,3.29,0.37,1.66,5.65,1.13,2.93,1375
1,13.5,1.81,2.41,20.5,116,3.15,2.69,0.2,1.86,6.8,0.94,3.33,1060
2,12.29,1.41,1.92,19.0,86,2.36,2.26,0.27,1.99,3.4,1.12,3.14,312
3,13.69,3.45,2.3,19.5,89,1.35,0.68,0.37,1.25,4.0,0.6,1.62,675
2,12.42,2.55,1.98,20.5,85,2.45,1.64,0.3,1.53,2.12,0.93,2.26,325
2,13.49,1.66,2.4,24.5,87,1.92,1.84,0.21,1.4,4.6,1.31,3.21,480
2,12.08,2.12,1.82,19.5,85,2.23,1.92,0.26,1.87,3.3,0.97,3.16,718
1,14.38,1.87,2.38,14.6,102,2.85,2.98,0.34,1.85,5.2,1.08,3.58,1065
3,12.51,4.28,2.2,18.5,92,1.62,0.66,0.6,0.94,5.28,0.75,2.05,515
2,12.34,1.1,2.23,20.4,99,3.52,2.14,0.24,1.87,2.06,1.04,3.44,886
1,13.83,1.35,2.5,16.7,93,2.45,2.99,0.34,1.98,5.6,1.02,2.77,1060
2,13.49,0.94,2.67,17.0,101,2.53,1.3,0.55,0.62,5.75,1.25,1.59,600
1,14.19,1.68,2.48,16.0,117,3.4,3.17,0.29,1.86,8.7,1.28,2.82,1515
3,12.88,2.99,2.61,22.0,106,1.65,0.6,0.53,0.81,3.85,0.87,2.15,570
2,11.79,1.33,2.31,20.0,162,2.74,2.92,0.17,2.49,3.25,1.12,3.47,937
1,13.5,1.81,2.31,16.2,89,2.72,3.27,0.28,1.62,5.7,1.08,3.92,1510
2,12.33,0.99,2.26,16.0,110,2.53,2.5,0.55,1.66,3.4,1.25,2.5,406
2,12.34,1.1,2.28,22.0,90,3.38,2.14,0.19,1.65,2.7,1.04,3.71,420
1,13.48,1.8,2.65,20.0,115,2.8,3.54,0.3,1.35,6.2,1.19,2.88,1285
1,13.9,1.48,2.12,18.0,90,2.45,2.52,0.27,1.48,3.84,1.28,3.14,1035
1,13.74,1.73,2.36,16.4,104,2.75,3.03,0.32,1.69,5.04,0.88,2.84,1060
1,13.72,1.43,2.5,16.8,93,2.2,2.53,0.27,1.97,3.52,1.09,2.82,1020
3,13.32,4.6,2.86,25.0,96,2.05,0.76,0.53,1.41,7.3,0.61,1.62,560
1,13.71,1.86,2.36,19.1,101,3.1,3.0,0.2,1.97,4.5,1.12,3.71,920
1,13.48,1.81,2.61,17.2,94,2.72,3.19,0.28,1.66,6.0,1.25,3.0,1235
2,12.67,1.53,2.62,19.0,104,2.95,2.79,0.26,1.77,2.57,1.19,3.5,520
1,14.12,4.04,2.51,15.2,116,3.88,3.49,0.2,2.04,6.8,1.04,2.88,1190
1,13.76,1.67,2.41,16.4,117,3.4,3.29,0.32,1.97,7.8,1.12,2.75,1515
1,12.85,1.77,2.1,15.5,107,3.0,3.15,0.28,1.98,6.9,1.09,2.91,780
2,11.84,2.08,2.32,22.8,86,1.38,1.02,0.5,1.35,2.6,1.08,2.42,870
2,12.08,1.33,2.78,28.5,88,3.18,2.58,0.42,2.49,2.08,1.31,3.16,680
2,12.37,1.17,2.2,21.5,86,3.5,2.58,0.24,1.95,1.9,1.22,3.13,420
2,11.65,2.05,1.98,19.0,92,2.9,2.99,0.17,1.87,6.0,0.93,3.64,380
1,14.02,1.73,2.12,16.3,101,2.98,3.15,0.21,2.03,7.2,1.01,2.91,1045
3,13.08,2.31,2.35,20.0,106,1.65,1.2,0.24,0.94,4.1,0.97,1.29,600
2,12.08,1.33,2.29,16.0,151,2.56,2.65,0.14,2.35,3.05,1.06,3.47,750
3,12.88,4.1,2.2,18.5,112,1.7,0.78,0.27,1.04,8.21,0.72,1.51,630
2,12.33,0.99,2.46,24.0,101,2.2,2.53,0.4,1.98,3.0,1.31,2.96,428
3,12.45,2.67,2.32,18.5,85,2.3,0.92,0.63,0.94,7.1,0.64,1.74,855
3,13.4,1.24,2.75,25.5,111,1.48,0.96,0.29,1.25,9.7,0.57,1.56,600
1,13.87,1.57,2.27,18.8,108,2.88,3.19,0.32,2.38,8.9,1.12,3.1,1045
3,13.88,2.76,2.54,19.5,80,1.38,0.6,0.4,1.25,10.8,0.6,1.62,372
3,13.36,3.7,2.19,21.0,102,1.8,0.58,0.43,0.81,5.7,0.91,1.58,750
1,13.41,3.84,2.28,16.2,102,2.41,2.61,0.34,1.97,4.38,0.89,3.0,680
3,13.49,2.96,2.62,24.0,97,1.7,0.6,0.5,1.1,5.0,0.89,1.51,488
1,13.56,1.73,2.41,20.5,100,2.7,3.25,0.26,1.95,5.75,1.08,3.47,1060
2,11.96,1.72,1.7,17.5,94,2.5,2.27,0.26,1.4,3.3,1.0,2.77,562
2,11.46,0.74,2.1,10.6,97,2.48,2.5,0.55,2.91,3.05,1.1,2.87,407
1,14.37,1.87,2.45,16.0,96,2.85,2.98,0.29,2.08,4.5,0.92,3.22,970
2,11.61,1.99,2.67,21.6,94,1.6,1.5,0.58,1.42,3.08,0.906,2.26,680
3,13.84,1.29,2.75,24.5,105,2.2,0.5,0.53,0.64,5.88,0.66,1.74,725
3,13.32,1.35,2.64,27.0,98,2.8,1.1,0.53,2.29,13.0,0.57,1.55,675
2,12.22,1.19,2.32,23.0,101,2.74,2.79,0.39,1.65,3.25,0.89,3.26,438
2,12.29,1.61,2.5,19.0,98,2.5,2.25,0.3,1.9,2.6,0.79,3.38,678
3,13.49,5.51,2.35,21.5,88,0.98,0.63,0.27,1.25,4.0,0.59,1.33,560
1,12.85,1.65,2.52,17.8,98,2.4,2.41,0.26,1.46,3.93,1.12,2.96,845
3,13.73,4.12,2.26,20.0,90,2.0,0.47,0.48,0.68,5.7,0.96,1.82,580
1,13.07,1.65,2.84,15.5,98,2.4,2.19,0.37,1.44,4.25,1.09,2.87,915
2,13.05,3.86,2.51,21.6,104,2.83,3.03,0.3,1.95,6.0,0.87,3.64,410
3,12.36,2.39,2.2,19.0,96,1.25,0.58,0.4,1.14,8.21,0.58,1.86,855
3,12.96,2.56,2.48,21.5,112,1.3,1.36,0.24,1.26,9.7,0.48,1.47,472
1,13.56,1.71,2.61,16.1,93,2.48,2.69,0.28,2.08,3.8,0.92,3.08,1120
1,13.73,1.67,2.41,16.4,106,3.88,3.74,0.32,1.97,7.5,0.86,3.13,1260
2,11.62,1.35,1.71,15.0,151,2.02,0.57,0.28,2.5,2.85,1.06,2.27,870
2,11.62,1.88,1.92,18.5,85,1.61,0.99,0.27,1.63,3.3,1.23,2.65,870
1,14.2,4.04,2.51,15.2,116,3.0,3.04,0.2,2.08,5.1,1.04,3.71,1035
1,13.07,3.8,2.29,16.2,103,2.41,2.41,0.28,1.44,3.7,1.03,3.0,990
2,12.0,2.68,1.88,19.5,88,2.55,2.27,0.24,2.29,3.3,0.96,2.78,415
2,12.29,1.41,1.92,18.0,94,2.02,2.09,0.35,1.35,3.4,1.28,3.02,278
1,13.77,1.67,2.36,16.4,106,2.95,3.39,0.34,1.81,8.9,1.12,2.75,1450
2,11.87,3.43,1.95,20.8,87,1.63,1.59,0.43,1.53,1.74,1.42,3.33,680
3,12.2,3.03,2.64,27.0,97,1.79,0.6,0.63,1.1,5.58,0.87,1.8,515
3,12.51,4.6,2.64,25.0,112,1.9,0.78,0.27,1.14,8.5,0.74,1.8,880
3,12.81,2.76,2.48,23.0,98,1.48,0.83,0.53,0.84,5.7,0.77,1.58,590
3,13.11,4.1,2.38,20.0,104,1.8,1.22,0.24,1.04,5.4,0.67,1.29,530
3,14.13,3.7,2.74,24.5,98,2.05,0.5,0.56,1.15,8.5,0.78,1.8,580
3,12.58,5.65,2.64,25.0,112,1.79,0.78,0.43,1.14,5.0,0.82,1.69,515
3,12.25,4.72,2.54,18.5,120,1.83,1.57,0.26,1.26,8.6,0.59,1.29,520
3,13.58,1.67,2.64,24.0,107,2.2,0.58,0.43,0.81,5.88,0.75,2.15,685
2,11.03,2.4,1.9,16.0,97,1.61,1.5,0.29,1.03,3.8,1.27,2.12,562
1,13.72,1.43,2.5,16.7,108,3.4,3.56,0.19,2.04,6.8,0.89,2.87,1285
2,11.76,2.89,2.32,18.0,96,2.56,2.11,0.22,2.35,2.9,0.96,3.2,345
1,13.39,3.84,2.28,17.5,103,2.64,2.9,0.32,1.69,4.28,0.87,3.0,845
1,13.75,1.67,2.36,16.0,106,2.88,3.06,0.32,1.62,5.1,1.04,2.85,1045
1,13.07,1.73,2.1,17.0,107,2.65,2.76,0.32,1.98,3.7,1.02,2.85,990
2,12.04,2.13,2.24,18.0,81,2.23,1.92,0.25,1.63,3.25,0.97,3.16,290
3,13.71,2.81,2.69,23.5,105,1.55,0.6,0.6,0.81,4.35,0.81,2.06,695
3,13.88,3.24,2.62,22.5,98,1.7,0.56,0.53,0.55,4.6,0.82,2.11,550
2,11.96,2.16,1.95,19.0,86,2.6,2.65,0.37,1.87,2.06,0.86,3.19,378
1,12.93,2.05,2.68,18.6,107,3.0,2.92,0.3,2.38,6.25,1.07,3.2,1280
2,12.37,0.94,1.36,16.0,88,1.98,0.57,0.14,1.46,2.9,1.19,2.27,520
2,11.87,1.13,1.7,15.0,151,1.85,1.28,0.28,2.5,2.85,1.18,2.26,562
3,14.16,1.67,2.75,25.0,98,2.8,1.31,0.53,2.29,10.52,0.57,1.96,675
3,12.87,4.28,2.2,21.0,93,1.7,0.47,0.5,0.88,5.7,0.91,2.05,550
1,13.56,1.73,2.65,16.1,94,2.72,3.03,0.29,1.66,5.04,1.04,2.78,1065
2,12.25,1.19,2.53,24.0,101,2.56,2.01,0.42,1.03,2.08,1.31,3.16,562
